Dátum;Kategórianév;Terméknév;Egységár;Mennyiség;Érték;Vevõnév;Vevõ megye;Vevõ város;Bolt megye;Bolt város;Boltnév
10/27/2015;Kert;Kapa;800,00 Ft;12; 9 600 Ft ;Szabó Rt;Pest;Monor;Heves;Eger;1. ABC
10/27/2015;Játék;Labda;500,00 Ft;8; 4 000 Ft ;Tóth Kft;Heves;Eger;Pest;Kistarcsa;1. ABC
11/13/2015;Iroda;Ceruza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
11/24/2015;Iroda;Toll;400,00 Ft;6; 2 400 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Eger;1. ABC
11/24/2015;Iroda;Toll;400,00 Ft;9; 3 600 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
12/13/2015;Játék;Labda;500,00 Ft;8; 4 000 Ft ;Tóth Kft;Heves;Eger;Heves;Hatvan;1. ABC
12/13/2015;Játék;Labda;500,00 Ft;6; 3 000 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;1. ABC
12/16/2015;Kert;Ásó;700,00 Ft;5; 3 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
12/16/2015;Kert;Ásó;700,00 Ft;5; 3 500 Ft ;Tóth Kft;Heves;Eger;Heves;Eger;1. ABC
12/16/2015;Kert;Gereblye;700,00 Ft;9; 6 300 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;1. ABC
12/17/2015;Játék;Kártya;500,00 Ft;7; 3 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
12/22/2015;Kert;Ásó;700,00 Ft;-8;-5 600 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
12/24/2015;Iroda;Toll;400,00 Ft;6; 2 400 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Eger;1. ABC
12/25/2015;Iroda;Tol;400,00 Ft;14; 5 600 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
12/27/2015;Játék;Labda;500,00 Ft;8; 4 000 Ft ;Tóth Kft;Heves;Eger;Pest;Kistarcsa;1. ABC
12/27/2015;Kert;Kapa;800,00 Ft;6; 4 800 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;1. ABC
01/02/2016;Játék;Labda;500,00 Ft;3; 1 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Hatvan;1. ABC
01/20/2016;Játék;Kártya;500,00 Ft;6; 3 000 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;1. ABC
01/22/2016;Kert;Ásó;700,00 Ft;8; 5 600 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
01/23/2016;Iroda;Ceruza;300,00 Ft;11; 3 300 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
01/23/2016;Játék;Labda;500,00 Ft;3; 1 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
01/25/2016;Iroda;Toll;400,00 Ft;314; 125 600 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
01/27/2016;Iroda;Ceruza;300,00 Ft;20; 6 000 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Hatvan;1. ABC
02/02/2016;Iroda;Toll;400,00 Ft;8; 3 200 Ft ;Szabó Rt;Pest;Monor;Heves;Gyöngyös;1. ABC
02/17/2016;Iroda;Toll;400,00 Ft;12; 4 800 Ft ;Tóth Kft;Heves;Eger;Pest;Gödöllõ;1. ABC
03/12/2016;Kert;Ásó;700,00 Ft;14; 9 800 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;2. ABC
03/13/2016;;Gereblye;700,00 Ft;11; 7 700 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;1. ABC
03/14/2016;Kert;Gereblye;700,00 Ft;9; 6 300 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Hatvan;2. ABC
03/18/2016;Játék;Kártya;500,00 Ft;8; 4 000 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;2. ABC
03/21/2016;Játék;Labda;500,00 Ft;5; 2 500 Ft ;Tóth Kft;Heves;Eger;Heves;Eger;1. ABC
03/31/2016;Kert;Ásó;700,00 Ft;10; 7 000 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;1. ABC
04/03/2016;Iroda;Ceruza;300,00 Ft;15; 4 500 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
04/04/2016;Játék;Kártya;500,00 Ft;6; 3 000 Ft ;Kis Bt;Heves;Hatvan;Pest;Gödöllõ;2. ABC
04/16/2016;Kert;Gereblye;700,00 Ft;7; 4 900 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
04/16/2016;Kert;Gereblye;700,00 Ft;7; 4 900 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
04/22/2016;Kert;Ásó;700,00 Ft;6; 4 200 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
04/26/2016;Játék;Labda;500,00 Ft;16; 8 000 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;2. ABC
05/02/2016;Játék;Kártya;500,00 Ft;8; 4 000 Ft ;Tóth Kft;Heves;Eger;Heves;Eger;1. ABC
05/04/2016;Iroda;Ceruza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;2. ABC
05/11/2016;Iroda;Ceruza;300,00 Ft;4; 1 200 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;2. ABC
05/13/2016;Játék;Kártya;500,00 Ft;8; 4 000 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;1. ABC
05/16/2016;Kert;Gereblye;700,00 Ft;9; 6 300 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;1. ABC
05/16/2016;Kert;Ásó;;5;;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
05/17/2016;Iroda;Ceruza;300,00 Ft;12; 3 600 Ft ;Tóth Kft;Heves;Eger;Heves;Hatvan;1. ABC
05/18/2016;Játék;Kártya;500,00 Ft;8; 4 000 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;2. ABC
05/21/2016;;Labda;500,00 Ft;5;;Tóth Kft;Heves;Eger;Heves;Eger;1. ABC
05/22/2016;Kert;Gereblye;700,00 Ft;8; 5 600 Ft ;Tóth Kft;Heves;Eger;Pest;Gödöllõ;2. ABC
05/23/2016;Játék;Labda;500,00 Ft;10; 5 000 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;2. ABC
05/23/2016;Iroda;Toll;400,00 Ft;12; 4 800 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Hatvan;2. ABC
06/02/2016;Iroda;Toll;400,00 Ft;7; 2 800 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;1. ABC
06/02/2016;Kert;Kapa;800,00 Ft;8; 6 400 Ft ;Szabó Rt;Pest;Monor;Pest;Gödöllõ;2. ABC
06/11/2016;Játék;Ugrókötél;800,00 Ft;9; 7 200 Ft ;Tóth Kft;Heves;Eger;Heves;Hatvan;1. ABC
06/13/2016;Játék;Kártya;500,00 Ft;8; 4 000 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;1. ABC
06/14/2016;Kert;Gereblye;700,00 Ft;9; 6 300 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Hatvan;2. ABC
06/16/2016;Kert;Gereblye;700,00 Ft;7; 4 900 Ft ;Tóth Kft;Heves;Eger;Heves;Eger;1. ABC
06/23/2016;Játék;Labda;500,00 Ft;10; 5 000 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;2. ABC
06/26/2016;Iroda;Ceruza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Hatvan;1. ABC
07/01/2016;Játék;Labda;500,00 Ft;7; 3 500 Ft ;Tóth Kft;Heves;Eger;Heves;Hatvan;1. ABC
07/02/2016;Iroda;Toll;400,00 Ft;8; 3 200 Ft ;Szabó Rt;Pest;Monor;Heves;Gyöngyös;1. ABC
07/02/2016;Játék;Kártya;;8;;Tóth Kft;Heves;Eger;Heves;Eger;1. ABC
07/11/2016;Iroda;cerza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;2. ABC
07/13/2016;Játék;Labda;500,00 Ft;8; 4 000 Ft ;Tóth Kft;Heves;Eger;Heves;Hatvan;1. ABC
07/15/2016;Játék;Labda;500,00 Ft;9; 4 500 Ft ;Kovács Bt;Pest;Gödöllõ;Pest;Kistarcsa;1. ABC
07/18/2016;;Toll;400,00 Ft;6; 2 400 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Eger;1. ABC
07/24/2016;Iroda;cerza;300,00 Ft;16; 4 800 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
07/24/2016;Iroda;Ceruza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;1. ABC
07/25/2016;Kert;Gereblye;700,00 Ft;7; 4 900 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;1. ABC
07/26/2016;Kert;Ásó;700,00 Ft;6; 4 200 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;1. ABC
07/31/2016;Kert;Ásó;700,00 Ft;;;Tóth Kft;Heves;Eger;Heves;Gyöngyös;1. ABC
08/02/2016;Játék;Labda;500,00 Ft;3; 1 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Hatvan;1. ABC
08/02/2016;Iroda;Tol;400,00 Ft;7; 2 800 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;1. ABC
08/16/2016;Kert;Gereblye;700,00 Ft;7; 4 900 Ft ;Tóth Kft;Heves;Eger;Heves;Eger;1. ABC
08/20/2016;Játék;Kártya;500,00 Ft;6; 3 000 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;1. ABC
08/23/2016;Kert;Kanna;800,00 Ft;12; 9 600 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
08/23/2016;Kert;Kanna;800,00 Ft;12; 9 600 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
08/26/2016;Iroda;Ceruza;300,00 Ft;12; 3 600 Ft ;Kovács Bt;Pest;Gödöllõ;Pest;Gödöllõ;1. ABC
08/26/2016;Kert;Ásó;700,00 Ft;6; 4 200 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;1. ABC
08/27/2016;Kert;Kapa;800,00 Ft;6; 4 800 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;1. ABC
09/02/2016;Kert;Kapa;800,00 Ft;7; 5 600 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Hatvan;1. ABC
09/03/2016;Iroda;Füzet;200,00 Ft;8; 1 600 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;2. ABC
09/11/2016;Játék;Ugrókötél;800,00 Ft;9; 7 200 Ft ;Tóth Kft;Heves;Eger;Heves;Hatvan;1. ABC
09/15/2016;Iroda;Ceruza;300,00 Ft;12; 3 600 Ft ;Tóth Kft;Heves;Eger;Pest;Kistarcsa;1. ABC
09/27/2016;Iroda;Füzet;200,00 Ft;11; 2 200 Ft ;Szabó Rt;Pest;Monor;Heves;Gyöngyös;1. ABC
09/29/2016;Iroda;Toll;400,00 Ft;9; 3 600 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;2. ABC
10/02/2016;Kert;Kapa;800,00 Ft;7; 5 600 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Hatvan;1. ABC
10/09/2016;Kert;Kapa;800,00 Ft;11; 8 800 Ft ;Szabó Rt;Pest;Monor;Heves;Gyöngyös;2. ABC
10/13/2016;Iroda;Tol;400,00 Ft;5; 2 000 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;1. ABC
10/15/2016;Játék;Labda;500,00 Ft;9; 4 500 Ft ;Kovács Bt;Pest;Gödöllõ;Pest;Kistarcsa;1. ABC
10/17/2016;Iroda;Ceruza;300,00 Ft;12; 3 600 Ft ;Tóth Kft;Heves;Eger;Heves;Hatvan;1. ABC
10/24/2016;Iroda;Ceruza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;1. ABC
10/26/2016;Iroda;Ceruza;300,00 Ft;12; 3 600 Ft ;Kovács Bt;Pest;Gödöllõ;Pest;Gödöllõ;1. ABC
10/28/2016;Játék;Labda;500,00 Ft;9; 4 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
10/29/2016;Iroda;Toll;400,00 Ft;11; 4 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;1. ABC
11/02/2016;Kert;Kapa;800,00 Ft;8;;Szabó Rt;Pest;Monor;Pest;Gödöllõ;2. ABC
11/04/2016;Játék;Kártya;500,00 Ft;6; 3 000 Ft ;Kis Bt;Heves;Hatvan;Pest;Gödöllõ;2. ABC
11/08/2016;Iroda;Toll;400,00 Ft;4; 1 600 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;2. ABC
11/09/2016;Kert;Kapa;800,00 Ft;511; 408 800 Ft ;Szabó Rt;Pest;Monor;Heves;Gyöngyös;2. ABC
11/13/2016;Kert;Gereblye;700,00 Ft;11; 7 700 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;1. ABC
11/16/2016;Játék;Labda;500,00 Ft;6; 3 000 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;2. ABC
11/23/2016;Kert;Ásó;700,00 Ft;9; 6 300 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;1. ABC
11/26/2016;;Ceruza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Hatvan;1. ABC
11/29/2016;Iroda;Toll;400,00 Ft;9; 3 600 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;2. ABC
11/29/2016;Iroda;Toll;400,00 Ft;11; 4 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;1. ABC
12/03/2016;Iroda;Füzet;200,00 Ft;8; 1 600 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Gyöngyös;2. ABC
12/03/2016;Kert;Kanna;800,00 Ft;-7;-5 600 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
12/11/2016;Játék;Labda;500,00 Ft;6; 3 000 Ft ;Szabó Rt;Pest;Monor;Heves;Gyöngyös;2. ABC
12/11/2016;Játék;Labda;500,00 Ft;6; 3 000 Ft ;Szabó Rt;Pest;Monor;Heves;Gyöngyös;2. ABC
12/15/2016;Iroda;Füzet;200,00 Ft;13; 2 600 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;1. ABC
12/16/2016;Játék;Labda;500,00 Ft;6; 3 000 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;2. ABC
12/19/2016;Játék;Labda;500,00 Ft;9; 4 500 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Eger;1. ABC
12/22/2016;Kert;Ásó;700,00 Ft;6; 4 200 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
12/25/2016;Kert;Gereblye;700,00 Ft;7; 4 900 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;1. ABC
12/26/2016;Játék;Labda;500,00 Ft;16; 8 000 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;2. ABC
01/04/2017;Kert;Kapa;800,00 Ft;7; 5 600 Ft ;Szabó Rt;Pest;Monor;Pest;Gödöllõ;2. ABC
01/06/2017;Iroda;Füzet;200,00 Ft;5; 1 000 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;1. ABC
01/07/2017;Iroda;Füzet;200,00 Ft;8; 1 600 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Eger;1. ABC
01/18/2017;Iroda;Toll;400,00 Ft;;;Nagy Kft;Heves;Gyöngyös;Heves;Eger;1. ABC
01/18/2017;Iroda;Füzet;200,00 Ft;6; 1 200 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
01/19/2017;Iroda;Füzet;200,00 Ft;7; 1 400 Ft ;Szabó Rt;Pest;Monor;Heves;Hatvan;1. ABC
01/23/2017;Kert;Ásó;700,00 Ft;9; 6 300 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;1. ABC
01/27/2017;Iroda;Füzet;200,00 Ft;11; 2 200 Ft ;Szabó Rt;Pest;Monor;Heves;Gyöngyös;1. ABC
02/07/2017;Kert;Ásó;700,00 Ft;7; 4 900 Ft ;Tóth Kft;Heves;Eger;Heves;Eger;2. ABC
02/08/2017;Iroda;Füzet;200,00 Ft;8; 1 600 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;2. ABC
02/08/2017;Iroda;Füzet;200,00 Ft;8; 1 600 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;2. ABC
02/12/2017;Iroda;Ceruza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;1. ABC
02/14/2017;Játék;Kártya;500,00 Ft;3; 1 500 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Kistarcsa;2. ABC
02/19/2017;Játék;Labda;500,00 Ft;9; 4 500 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Eger;1. ABC
02/25/2017;Iroda;Toll;400,00 Ft;9; 3 600 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;2. ABC
02/28/2017;Iroda;Toll;400,00 Ft;8; 3 200 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
03/17/2017;Kert;Kapa;800,00 Ft;10; 8 000 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;1. ABC
04/07/2017;Kert;Ásó;700,00 Ft;7; 4 900 Ft ;Tóth Kft;Heves;Eger;Heves;Eger;2. ABC
04/12/2017;Iroda;cerza;300,00 Ft;8; 2 400 Ft ;Kis Bt;Heves;Hatvan;Heves;Eger;1. ABC
04/13/2017;Iroda;Tol;400,00 Ft;5; 2 000 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Gödöllõ;1. ABC
04/15/2017;Iroda;Ceruza;300,00 Ft;12; 3 600 Ft ;Tóth Kft;Heves;Eger;Pest;Kistarcsa;1. ABC
04/15/2017;Iroda;Füzet;200,00 Ft;13; 2 600 Ft ;Kis Bt;Heves;Hatvan;Pest;Kistarcsa;1. ABC
04/24/2017;Iroda;creuza;300,00 Ft;315; 94 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Hatvan;1. ABC
05/02/2017;Kert;Kapa;800,00 Ft;7; 5 600 Ft ;Kis Bt;Heves;Hatvan;Pest;Gödöllõ;2. ABC
05/02/2017;Kert;Kapa;800,00 Ft;7; 5 600 Ft ;Kis Bt;Heves;Hatvan;Pest;Gödöllõ;2. ABC
05/05/2017;Játék;Ugrókötél;800,00 Ft;6; 4 800 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Kistarcsa;1. ABC
05/05/2017;Játék;Ugrókötél;800,00 Ft;6; 4 800 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Kistarcsa;1. ABC
05/12/2017;Iroda;Füzet;200,00 Ft;10; 2 000 Ft ;Szabó Rt;Pest;Monor;Heves;Hatvan;1. ABC
05/18/2017;Iroda;Füzet;200,00 Ft;6; 1 200 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;2. ABC
05/24/2017;Iroda;creuza;300,00 Ft;15; 4 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Hatvan;1. ABC
05/28/2017;Iroda;Tolll;400,00 Ft;8; 3 200 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
05/28/2017;Játék;Labda;500,00 Ft;9; 4 500 Ft ;Nagy Kft;Heves;Gyöngyös;Heves;Gyöngyös;1. ABC
06/02/2017;Játék;Labda;500,00 Ft;5; 2 500 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;1. ABC
06/03/2017;Kert;Kanna;800,00 Ft;7; 5 600 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;2. ABC
06/07/2017;Iroda;Füzet;200,00 Ft;8; 1 600 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Eger;1. ABC
06/12/2017;Iroda;Füzet;200,00 Ft;-10;-2 000 Ft ;Szabó Rt;Pest;Monor;Heves;Hatvan;1. ABC
06/14/2017;Játék;Kártya;500,00 Ft;3; 1 500 Ft ;Nagy Kft;Heves;Gyöngyös;Pest;Kistarcsa;2. ABC
06/14/2017;Játék;Labda;500,00 Ft;20; 10 000 Ft ;Szabó Rt;Pest;Monor;Heves;Gyöngyös;1. ABC
06/17/2017;Kert;Kapa;800,00 Ft;10; 8 000 Ft ;Kis Bt;Heves;Hatvan;Heves;Gyöngyös;1. ABC
06/30/2017;Iroda;Toll;400,00 Ft;4; 1 600 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Eger;1. ABC
07/04/2017;Kert;Kapa;800,00 Ft;;;Szabó Rt;Pest;Monor;Pest;Gödöllõ;2. ABC
07/10/2017;Kert;Kapa;800,00 Ft;6; 4 800 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;2. ABC
07/10/2017;Kert;Kapa;800,00 Ft;6; 4 800 Ft ;Tóth Kft;Heves;Eger;Heves;Gyöngyös;2. ABC
07/31/2017;Iroda;Toll;400,00 Ft;4; 1 600 Ft ;Kovács Bt;Pest;Gödöllõ;Heves;Eger;1. ABC
