Dátum,Kategórianév,Terméknév,Egységár,Mennyiség,Bevétel,Vevõnév,Vevõ megye,Vevõ város,Bolt megye,Bolt város,Boltnév
2016-01-20,Játék,Kártya,500,6.0,3000.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
2016-01-22,Kert,Ásó,700,8.0,5600.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
2016-01-23,Iroda,Ceruza,300,11.0,3300.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
2016-01-23,Játék,Labda,500,3.0,1500.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
2016-01-25,Iroda,Toll,400,11.5,125600.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
2016-01-27,Iroda,Ceruza,300,20.0,6000.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,1. ABC
2016-02-02,Iroda,Toll,400,8.0,3200.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,1. ABC
2016-02-17,Iroda,Toll,400,12.0,4800.0,Tóth Kft,Heves,Eger,Pest,Gödöllõ,1. ABC
2016-03-12,Kert,Ásó,700,14.0,9800.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
2016-03-13,Ismeretlen,Gereblye,700,11.0,7700.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
2016-03-14,Kert,Gereblye,700,9.0,6300.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,2. ABC
2016-03-18,Játék,Kártya,500,8.0,4000.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
2016-03-21,Játék,Labda,500,5.0,2500.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
2016-03-31,Kert,Ásó,700,10.0,7000.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
2016-04-03,Iroda,Ceruza,300,15.0,4500.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2016-04-04,Játék,Kártya,500,6.0,3000.0,Kis Bt,Heves,Hatvan,Pest,Gödöllõ,2. ABC
2016-04-16,Kert,Gereblye,700,7.0,4900.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
2016-04-22,Kert,Ásó,700,6.0,4200.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
2016-04-26,Játék,Labda,500,16.0,8000.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
2016-05-02,Játék,Kártya,500,8.0,4000.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
2016-05-04,Iroda,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
2016-05-11,Iroda,Ceruza,300,4.0,1200.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
2016-05-13,Játék,Kártya,500,8.0,4000.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,1. ABC
2016-05-16,Kert,Gereblye,700,9.0,6300.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
2016-05-16,Kert,Ásó,0,5.0,0.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
2016-05-17,Iroda,Ceruza,300,12.0,3600.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
2016-05-18,Játék,Kártya,500,8.0,4000.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
2016-05-21,Ismeretlen,Labda,500,5.0,2500.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
2016-05-22,Kert,Gereblye,700,8.0,5600.0,Tóth Kft,Heves,Eger,Pest,Gödöllõ,2. ABC
2016-05-23,Játék,Labda,500,10.0,5000.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
2016-05-23,Iroda,Toll,400,12.0,4800.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,2. ABC
2016-06-02,Iroda,Toll,400,7.0,2800.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
2016-06-02,Kert,Kapa,800,8.0,6400.0,Szabó Rt,Pest,Monor,Pest,Gödöllõ,2. ABC
2016-06-11,Játék,Ugrókötél,800,9.0,7200.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
2016-06-13,Játék,Kártya,500,8.0,4000.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,1. ABC
2016-06-14,Kert,Gereblye,700,9.0,6300.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,2. ABC
2016-06-16,Kert,Gereblye,700,7.0,4900.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
2016-06-23,Játék,Labda,500,10.0,5000.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
2016-06-26,Iroda,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Hatvan,1. ABC
2016-07-01,Játék,Labda,500,7.0,3500.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
2016-07-02,Iroda,Toll,400,8.0,3200.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,1. ABC
2016-07-02,Játék,Kártya,0,8.0,0.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
2016-07-11,Iroda,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
2016-07-13,Játék,Labda,500,8.0,4000.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
2016-07-15,Játék,Labda,500,9.0,4500.0,Kovács Bt,Pest,Gödöllõ,Pest,Kistarcsa,1. ABC
2016-07-18,Ismeretlen,Toll,400,6.0,2400.0,Nagy Kft,Heves,Gyöngyös,Heves,Eger,1. ABC
2016-07-24,Iroda,Ceruza,300,16.0,4800.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2016-07-24,Iroda,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,1. ABC
2016-07-25,Kert,Gereblye,700,7.0,4900.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
2016-07-26,Kert,Ásó,700,6.0,4200.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
2016-08-02,Játék,Labda,500,3.0,1500.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
2016-08-02,Iroda,Toll,400,7.0,2800.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
2016-08-16,Kert,Gereblye,700,7.0,4900.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
2016-08-20,Játék,Kártya,500,6.0,3000.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
2016-08-23,Kert,Kanna,800,12.0,9600.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
2016-08-26,Iroda,Ceruza,300,12.0,3600.0,Kovács Bt,Pest,Gödöllõ,Pest,Gödöllõ,1. ABC
2016-08-26,Kert,Ásó,700,6.0,4200.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
2016-08-27,Kert,Kapa,800,6.0,4800.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
2016-09-02,Kert,Kapa,800,7.0,5600.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
2016-09-03,Iroda,Füzet,200,8.0,1600.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
2016-09-11,Játék,Ugrókötél,800,9.0,7200.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
2016-09-15,Iroda,Ceruza,300,12.0,3600.0,Tóth Kft,Heves,Eger,Pest,Kistarcsa,1. ABC
2016-09-27,Iroda,Füzet,200,11.0,2200.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,1. ABC
2016-09-29,Iroda,Toll,400,9.0,3600.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
2016-10-02,Kert,Kapa,800,7.0,5600.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
2016-10-09,Kert,Kapa,800,11.0,8800.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,2. ABC
2016-10-13,Iroda,Toll,400,5.0,2000.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
2016-10-15,Játék,Labda,500,9.0,4500.0,Kovács Bt,Pest,Gödöllõ,Pest,Kistarcsa,1. ABC
2016-10-17,Iroda,Ceruza,300,12.0,3600.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
2016-10-24,Iroda,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,1. ABC
2016-10-26,Iroda,Ceruza,300,12.0,3600.0,Kovács Bt,Pest,Gödöllõ,Pest,Gödöllõ,1. ABC
2016-10-28,Játék,Labda,500,9.0,4500.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
2016-10-29,Iroda,Toll,400,11.0,4400.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
2016-11-02,Kert,Kapa,800,8.0,6400.0,Szabó Rt,Pest,Monor,Pest,Gödöllõ,2. ABC
2016-11-04,Játék,Kártya,500,6.0,3000.0,Kis Bt,Heves,Hatvan,Pest,Gödöllõ,2. ABC
2016-11-08,Iroda,Toll,400,4.0,1600.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
2016-11-09,Kert,Kapa,800,7.5,408800.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,2. ABC
2016-11-13,Kert,Gereblye,700,11.0,7700.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
2016-11-16,Játék,Labda,500,6.0,3000.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
2016-11-23,Kert,Ásó,700,9.0,6300.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
2016-11-26,Ismeretlen,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Hatvan,1. ABC
2016-11-29,Iroda,Toll,400,9.0,3600.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
2016-11-29,Iroda,Toll,400,11.0,4400.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
2016-12-03,Iroda,Füzet,200,8.0,1600.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
2016-12-03,Kert,Kanna,800,7.0,5600.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2016-12-11,Játék,Labda,500,6.0,3000.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,2. ABC
2016-12-15,Iroda,Füzet,200,13.0,2600.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
2016-12-16,Játék,Labda,500,6.0,3000.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
2016-12-19,Játék,Labda,500,9.0,4500.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,1. ABC
2016-12-22,Kert,Ásó,700,6.0,4200.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
2016-12-25,Kert,Gereblye,700,7.0,4900.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
2016-12-26,Játék,Labda,500,16.0,8000.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
2017-01-04,Kert,Kapa,800,7.0,5600.0,Szabó Rt,Pest,Monor,Pest,Gödöllõ,2. ABC
2017-01-06,Iroda,Füzet,200,5.0,1000.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
2017-01-07,Iroda,Füzet,200,8.0,1600.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,1. ABC
2017-01-18,Iroda,Füzet,200,6.0,1200.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
2017-01-19,Iroda,Füzet,200,7.0,1400.0,Szabó Rt,Pest,Monor,Heves,Hatvan,1. ABC
2017-01-23,Kert,Ásó,700,9.0,6300.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
2017-01-27,Iroda,Füzet,200,11.0,2200.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,1. ABC
2017-02-07,Kert,Ásó,700,7.0,4900.0,Tóth Kft,Heves,Eger,Heves,Eger,2. ABC
2017-02-08,Iroda,Füzet,200,8.0,1600.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
2017-02-12,Iroda,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
2017-02-14,Játék,Kártya,500,3.0,1500.0,Nagy Kft,Heves,Gyöngyös,Pest,Kistarcsa,2. ABC
2017-02-19,Játék,Labda,500,9.0,4500.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,1. ABC
2017-02-25,Iroda,Toll,400,9.0,3600.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
2017-02-28,Iroda,Toll,400,8.0,3200.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
2017-03-17,Kert,Kapa,800,10.0,8000.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,1. ABC
2017-04-07,Kert,Ásó,700,7.0,4900.0,Tóth Kft,Heves,Eger,Heves,Eger,2. ABC
2017-04-12,Iroda,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
2017-04-13,Iroda,Toll,400,5.0,2000.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
2017-04-15,Iroda,Ceruza,300,12.0,3600.0,Tóth Kft,Heves,Eger,Pest,Kistarcsa,1. ABC
2017-04-15,Iroda,Füzet,200,13.0,2600.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
2017-04-24,Iroda,Ceruza,300,10.0,94500.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
2017-05-02,Kert,Kapa,800,7.0,5600.0,Kis Bt,Heves,Hatvan,Pest,Gödöllõ,2. ABC
2017-05-05,Játék,Ugrókötél,800,6.0,4800.0,Nagy Kft,Heves,Gyöngyös,Pest,Kistarcsa,1. ABC
2017-05-12,Iroda,Füzet,200,10.0,2000.0,Szabó Rt,Pest,Monor,Heves,Hatvan,1. ABC
2017-05-18,Iroda,Füzet,200,6.0,1200.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
2017-05-24,Iroda,Ceruza,300,15.0,4500.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
2017-05-28,Iroda,Toll,400,8.0,3200.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
2017-05-28,Játék,Labda,500,9.0,4500.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
2017-06-02,Játék,Labda,500,5.0,2500.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
2017-06-03,Kert,Kanna,800,7.0,5600.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2017-06-07,Iroda,Füzet,200,8.0,1600.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,1. ABC
2017-06-12,Iroda,Füzet,200,10.0,2000.0,Szabó Rt,Pest,Monor,Heves,Hatvan,1. ABC
2017-06-14,Játék,Kártya,500,3.0,1500.0,Nagy Kft,Heves,Gyöngyös,Pest,Kistarcsa,2. ABC
2017-06-14,Játék,Labda,500,20.0,10000.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,1. ABC
2017-06-17,Kert,Kapa,800,10.0,8000.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,1. ABC
2017-06-30,Iroda,Toll,400,4.0,1600.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,1. ABC
2017-07-10,Kert,Kapa,800,6.0,4800.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
2017-07-31,Iroda,Toll,400,4.0,1600.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,1. ABC
2017-08-02,Játék,Labda,500,5.0,2500.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
2017-08-07,Kert,Ásó,700,5.0,3500.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,1. ABC
2017-08-08,Iroda,Toll,400,4.0,1600.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
2017-08-14,Játék,Labda,500,20.0,10000.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,1. ABC
2017-08-19,Iroda,Füzet,200,7.0,1400.0,Szabó Rt,Pest,Monor,Heves,Hatvan,1. ABC
2017-08-23,Iroda,Füzet,200,6.0,1200.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,2. ABC
2017-09-07,Kert,Ásó,700,5.0,3500.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,1. ABC
2017-09-06,Iroda,Füzet,200,5.0,1000.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
2017-09-03,Iroda,Toll,400,9.0,3600.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
2017-09-07,Iroda,Toll,400,11.0,4400.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
2017-09-12,Iroda,Füzet,200,8.0,1600.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
2017-09-14,Kert,Kanna,800,7.0,5600.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2017-09-14,Játék,Labda,500,6.0,3000.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,2. ABC
2017-09-17,Játék,Labda,500,6.0,3000.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,2. ABC
2017-09-30,Iroda,Füzet,200,13.0,2600.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
2017-10-04,Játék,Labda,500,6.0,3000.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
2017-10-10,Kert,Gereblye,700,8.0,5600.0,Tóth Kft,Heves,Eger,Pest,Gödöllõ,2. ABC
2017-10-10,Játék,Labda,500,10.0,5000.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
2017-10-31,Iroda,Toll,400,12.0,4800.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,2. ABC
2017-11-02,Iroda,Toll,400,7.0,2800.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
2017-11-07,Kert,Kapa,800,8.0,6400.0,Szabó Rt,Pest,Monor,Pest,Gödöllõ,2. ABC
2017-11-08,Játék,Ugrókötél,800,9.0,7200.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
2017-11-14,Játék,Kártya,500,8.0,4000.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,1. ABC
2017-11-19,Kert,Gereblye,0,9.0,0.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,2. ABC
2017-11-23,Iroda,Ceruza,300,8.0,2400.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2017-11-23,Iroda,Toll,400,6.0,2400.0,Nagy Kft,Heves,Gyöngyös,Heves,Eger,1. ABC
2017-11-25,Iroda,Toll,400,9.0,3600.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
2017-12-06,Játék,Labda,500,6.0,3000.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,1. ABC
2017-12-03,Kert,Ásó,700,5.0,3500.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
2017-12-07,Kert,Ásó,700,5.0,3500.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
2017-12-12,Kert,Gereblye,700,9.0,6300.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
2017-12-14,Játék,Kártya,500,7.0,3500.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
