,Dátum,Kategórianév,Terméknév,Egységár,Mennyiség,Érték,Vevõnév,Vevõ megye,Vevõ város,Bolt megye,Bolt város,Boltnév
42,11/24/2015,Iroda,Toll,400,6.0,394.0,Nagy Kft,Heves,Gyöngyös,Heves,Eger,1. ABC
43,11/24/2015,Iroda,Toll,400,9.0,391.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
44,12/13/2015,Játék,Labda,500,8.0,492.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
45,12/13/2015,Játék,Labda,500,6.0,494.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,1. ABC
46,12/16/2015,Kert,Ásó,700,5.0,695.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
47,12/16/2015,Kert,Ásó,700,5.0,695.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
48,12/16/2015,Kert,Gereblye,700,9.0,691.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
49,12/17/2015,Játék,Kártya,500,7.0,493.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
50,12/22/2015,Kert,Ásó,700,8.0,708.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
51,12/24/2015,Iroda,Toll,400,6.0,394.0,Nagy Kft,Heves,Gyöngyös,Heves,Eger,1. ABC
52,12/25/2015,Iroda,Toll,400,14.0,386.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
53,12/27/2015,Játék,Labda,500,8.0,492.0,Tóth Kft,Heves,Eger,Pest,Kistarcsa,1. ABC
54,12/27/2015,Kert,Kapa,800,6.0,794.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
55,01/02/2016,Játék,Labda,500,3.0,497.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
56,01/20/2016,Játék,Kártya,500,6.0,494.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
57,01/22/2016,Kert,Ásó,700,8.0,692.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
58,01/23/2016,Iroda,Ceruza,300,11.0,289.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
59,01/23/2016,Játék,Labda,500,3.0,497.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
60,01/25/2016,Iroda,Toll,400,11.5,86.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
61,01/27/2016,Iroda,Ceruza,300,20.0,280.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,1. ABC
62,02/02/2016,Iroda,Toll,400,8.0,392.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,1. ABC
63,02/17/2016,Iroda,Toll,400,12.0,388.0,Tóth Kft,Heves,Eger,Pest,Gödöllõ,1. ABC
64,03/12/2016,Kert,Ásó,700,14.0,686.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
65,03/13/2016,ismeretlen,Gereblye,700,11.0,689.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
66,03/14/2016,Kert,Gereblye,700,9.0,691.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,2. ABC
67,03/18/2016,Játék,Kártya,500,8.0,492.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
68,03/21/2016,Játék,Labda,500,5.0,495.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
69,03/31/2016,Kert,Ásó,700,10.0,690.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
70,04/03/2016,Iroda,Ceruza,300,15.0,285.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
71,04/04/2016,Játék,Kártya,500,6.0,494.0,Kis Bt,Heves,Hatvan,Pest,Gödöllõ,2. ABC
73,04/16/2016,Kert,Gereblye,700,7.0,693.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
74,04/22/2016,Kert,Ásó,700,6.0,694.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
75,04/26/2016,Játék,Labda,500,16.0,484.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
76,05/02/2016,Játék,Kártya,500,8.0,492.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
77,05/04/2016,Iroda,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
78,05/11/2016,Iroda,Ceruza,300,4.0,296.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
79,05/13/2016,Játék,Kártya,500,8.0,492.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,1. ABC
80,05/16/2016,Kert,Gereblye,700,9.0,691.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
81,05/16/2016,Kert,Ásó,700,5.0,695.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
82,05/17/2016,Iroda,Ceruza,300,12.0,288.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
83,05/18/2016,Játék,Kártya,500,8.0,492.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
84,05/21/2016,ismeretlen,Labda,500,5.0,495.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
85,05/22/2016,Kert,Gereblye,700,8.0,692.0,Tóth Kft,Heves,Eger,Pest,Gödöllõ,2. ABC
86,05/23/2016,Játék,Labda,500,10.0,490.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
87,05/23/2016,Iroda,Toll,400,12.0,388.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,2. ABC
88,06/02/2016,Iroda,Toll,400,7.0,393.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
89,06/02/2016,Kert,Kapa,800,8.0,792.0,Szabó Rt,Pest,Monor,Pest,Gödöllõ,2. ABC
90,06/11/2016,Játék,Ugrókötél,800,9.0,791.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
91,06/13/2016,Játék,Kártya,500,8.0,492.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,1. ABC
92,06/14/2016,Kert,Gereblye,700,9.0,691.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,2. ABC
93,06/16/2016,Kert,Gereblye,700,7.0,693.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
94,06/23/2016,Játék,Labda,500,10.0,490.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
95,06/26/2016,Iroda,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Hatvan,1. ABC
96,07/01/2016,Játék,Labda,500,7.0,493.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
97,07/02/2016,Iroda,Toll,400,8.0,392.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,1. ABC
98,07/02/2016,Játék,Kártya,500,8.0,492.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
99,07/11/2016,Iroda,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
100,07/13/2016,Játék,Labda,500,8.0,492.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
101,07/15/2016,Játék,Labda,500,9.0,491.0,Kovács Bt,Pest,Gödöllõ,Pest,Kistarcsa,1. ABC
102,07/18/2016,ismeretlen,Toll,400,6.0,394.0,Nagy Kft,Heves,Gyöngyös,Heves,Eger,1. ABC
103,07/24/2016,Iroda,Ceruza,300,16.0,284.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
104,07/24/2016,Iroda,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,1. ABC
105,07/25/2016,Kert,Gereblye,700,7.0,693.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
106,07/26/2016,Kert,Ásó,700,6.0,694.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
108,08/02/2016,Játék,Labda,500,3.0,497.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
109,08/02/2016,Iroda,Toll,400,7.0,393.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
110,08/16/2016,Kert,Gereblye,700,7.0,693.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
111,08/20/2016,Játék,Kártya,500,6.0,494.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
113,08/23/2016,Kert,Kanna,800,12.0,788.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
114,08/26/2016,Iroda,Ceruza,300,12.0,288.0,Kovács Bt,Pest,Gödöllõ,Pest,Gödöllõ,1. ABC
115,08/26/2016,Kert,Ásó,700,6.0,694.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
116,08/27/2016,Kert,Kapa,800,6.0,794.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
117,09/02/2016,Kert,Kapa,800,7.0,793.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
118,09/03/2016,Iroda,Füzet,200,8.0,192.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
119,09/11/2016,Játék,Ugrókötél,800,9.0,791.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
120,09/15/2016,Iroda,Ceruza,300,12.0,288.0,Tóth Kft,Heves,Eger,Pest,Kistarcsa,1. ABC
121,09/27/2016,Iroda,Füzet,200,11.0,189.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,1. ABC
122,09/29/2016,Iroda,Toll,400,9.0,391.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
123,10/02/2016,Kert,Kapa,800,7.0,793.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
124,10/09/2016,Kert,Kapa,800,11.0,789.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,2. ABC
125,10/13/2016,Iroda,Toll,400,5.0,395.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
126,10/15/2016,Játék,Labda,500,9.0,491.0,Kovács Bt,Pest,Gödöllõ,Pest,Kistarcsa,1. ABC
127,10/17/2016,Iroda,Ceruza,300,12.0,288.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
128,10/24/2016,Iroda,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,1. ABC
129,10/26/2016,Iroda,Ceruza,300,12.0,288.0,Kovács Bt,Pest,Gödöllõ,Pest,Gödöllõ,1. ABC
130,10/28/2016,Játék,Labda,500,9.0,491.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
131,10/29/2016,Iroda,Toll,400,11.0,389.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
132,11/02/2016,Kert,Kapa,800,8.0,792.0,Szabó Rt,Pest,Monor,Pest,Gödöllõ,2. ABC
133,11/04/2016,Játék,Kártya,500,6.0,494.0,Kis Bt,Heves,Hatvan,Pest,Gödöllõ,2. ABC
134,11/08/2016,Iroda,Toll,400,4.0,396.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
135,11/09/2016,Kert,Kapa,800,7.5,289.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,2. ABC
136,11/13/2016,Kert,Gereblye,700,11.0,689.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
137,11/16/2016,Játék,Labda,500,6.0,494.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
138,11/23/2016,Kert,Ásó,700,9.0,691.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
139,11/26/2016,ismeretlen,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Hatvan,1. ABC
140,11/29/2016,Iroda,Toll,400,9.0,391.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
141,11/29/2016,Iroda,Toll,400,11.0,389.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
142,12/03/2016,Iroda,Füzet,200,8.0,192.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
143,12/03/2016,Kert,Kanna,800,7.0,807.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
145,12/11/2016,Játék,Labda,500,6.0,494.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,2. ABC
146,12/15/2016,Iroda,Füzet,200,13.0,187.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
147,12/16/2016,Játék,Labda,500,6.0,494.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
148,12/19/2016,Játék,Labda,500,9.0,491.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,1. ABC
149,12/22/2016,Kert,Ásó,700,6.0,694.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
150,12/25/2016,Kert,Gereblye,700,7.0,693.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
151,12/26/2016,Játék,Labda,500,16.0,484.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
152,01/04/2017,Kert,Kapa,800,7.0,793.0,Szabó Rt,Pest,Monor,Pest,Gödöllõ,2. ABC
153,01/06/2017,Iroda,Füzet,200,5.0,195.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
154,01/07/2017,Iroda,Füzet,200,8.0,192.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,1. ABC
156,01/18/2017,Iroda,Füzet,200,6.0,194.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
157,01/19/2017,Iroda,Füzet,200,7.0,193.0,Szabó Rt,Pest,Monor,Heves,Hatvan,1. ABC
158,01/23/2017,Kert,Ásó,700,9.0,691.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
159,01/27/2017,Iroda,Füzet,200,11.0,189.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,1. ABC
160,02/07/2017,Kert,Ásó,700,7.0,693.0,Tóth Kft,Heves,Eger,Heves,Eger,2. ABC
162,02/08/2017,Iroda,Füzet,200,8.0,192.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
163,02/12/2017,Iroda,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
164,02/14/2017,Játék,Kártya,500,3.0,497.0,Nagy Kft,Heves,Gyöngyös,Pest,Kistarcsa,2. ABC
165,02/19/2017,Játék,Labda,500,9.0,491.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,1. ABC
166,02/25/2017,Iroda,Toll,400,9.0,391.0,Kis Bt,Heves,Hatvan,Heves,Eger,2. ABC
167,02/28/2017,Iroda,Toll,400,8.0,392.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
168,03/17/2017,Kert,Kapa,800,10.0,790.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,1. ABC
169,04/07/2017,Kert,Ásó,700,7.0,693.0,Tóth Kft,Heves,Eger,Heves,Eger,2. ABC
170,04/12/2017,Iroda,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
171,04/13/2017,Iroda,Toll,400,5.0,395.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
172,04/15/2017,Iroda,Ceruza,300,12.0,288.0,Tóth Kft,Heves,Eger,Pest,Kistarcsa,1. ABC
173,04/15/2017,Iroda,Füzet,200,13.0,187.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
174,04/24/2017,Iroda,Ceruza,300,10.0,-15.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
176,05/02/2017,Kert,Kapa,800,7.0,793.0,Kis Bt,Heves,Hatvan,Pest,Gödöllõ,2. ABC
178,05/05/2017,Játék,Ugrókötél,800,6.0,794.0,Nagy Kft,Heves,Gyöngyös,Pest,Kistarcsa,1. ABC
179,05/12/2017,Iroda,Füzet,200,10.0,190.0,Szabó Rt,Pest,Monor,Heves,Hatvan,1. ABC
180,05/18/2017,Iroda,Füzet,200,6.0,194.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
181,05/24/2017,Iroda,Ceruza,300,15.0,285.0,Nagy Kft,Heves,Gyöngyös,Heves,Hatvan,1. ABC
182,05/28/2017,Iroda,Toll,400,8.0,392.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
183,05/28/2017,Játék,Labda,500,9.0,491.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
184,06/02/2017,Játék,Labda,500,5.0,495.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
185,06/03/2017,Kert,Kanna,800,7.0,793.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
186,06/07/2017,Iroda,Füzet,200,8.0,192.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,1. ABC
187,06/12/2017,Iroda,Füzet,200,10.0,210.0,Szabó Rt,Pest,Monor,Heves,Hatvan,1. ABC
188,06/14/2017,Játék,Kártya,500,3.0,497.0,Nagy Kft,Heves,Gyöngyös,Pest,Kistarcsa,2. ABC
189,06/14/2017,Játék,Labda,500,20.0,480.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,1. ABC
190,06/17/2017,Kert,Kapa,800,10.0,790.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,1. ABC
191,06/30/2017,Iroda,Toll,400,4.0,396.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,1. ABC
194,07/10/2017,Kert,Kapa,800,6.0,794.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
195,07/31/2017,Iroda,Toll,400,4.0,396.0,Kovács Bt,Pest,Gödöllõ,Heves,Eger,1. ABC
196,08/02/2017,Játék,Labda,500,5.0,495.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
197,08/07/2017,Kert,Ásó,700,5.0,695.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,1. ABC
198,08/08/2017,Iroda,Toll,400,4.0,396.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
199,08/14/2017,Játék,Labda,500,20.0,480.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,1. ABC
200,08/19/2017,Iroda,Füzet,200,7.0,193.0,Szabó Rt,Pest,Monor,Heves,Hatvan,1. ABC
202,08/23/2017,Iroda,Füzet,200,6.0,194.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,2. ABC
204,09/07/2017,Kert,Ásó,700,5.0,695.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,1. ABC
205,09/06/2017,Iroda,Füzet,200,5.0,195.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
206,09/03/2017,Iroda,Toll,400,9.0,391.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,2. ABC
207,09/07/2017,Iroda,Toll,400,11.0,389.0,Kis Bt,Heves,Hatvan,Heves,Eger,1. ABC
208,09/12/2017,Iroda,Füzet,200,8.0,192.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,2. ABC
209,09/14/2017,Kert,Kanna,800,7.0,793.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
210,09/14/2017,Játék,Labda,500,6.0,494.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,2. ABC
211,09/17/2017,Játék,Labda,500,6.0,494.0,Szabó Rt,Pest,Monor,Heves,Gyöngyös,2. ABC
212,09/30/2017,Iroda,Füzet,200,13.0,187.0,Kis Bt,Heves,Hatvan,Pest,Kistarcsa,1. ABC
213,10/04/2017,Játék,Labda,500,6.0,494.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
215,10/10/2017,Kert,Gereblye,700,8.0,692.0,Tóth Kft,Heves,Eger,Pest,Gödöllõ,2. ABC
216,10/10/2017,Játék,Labda,500,10.0,490.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,2. ABC
217,10/31/2017,Iroda,Toll,400,12.0,388.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,2. ABC
218,11/02/2017,Iroda,Toll,400,7.0,393.0,Nagy Kft,Heves,Gyöngyös,Pest,Gödöllõ,1. ABC
219,11/07/2017,Kert,Kapa,800,8.0,792.0,Szabó Rt,Pest,Monor,Pest,Gödöllõ,2. ABC
220,11/08/2017,Játék,Ugrókötél,800,9.0,791.0,Tóth Kft,Heves,Eger,Heves,Hatvan,1. ABC
221,11/14/2017,Játék,Kártya,500,8.0,492.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,1. ABC
222,11/19/2017,Kert,Gereblye,700,9.0,691.0,Kovács Bt,Pest,Gödöllõ,Heves,Hatvan,2. ABC
223,11/23/2017,Iroda,Ceruza,300,8.0,292.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
224,11/23/2017,Iroda,Toll,400,6.0,394.0,Nagy Kft,Heves,Gyöngyös,Heves,Eger,1. ABC
225,11/25/2017,Iroda,Toll,400,9.0,391.0,Kis Bt,Heves,Hatvan,Heves,Gyöngyös,2. ABC
227,12/06/2017,Játék,Labda,500,6.0,494.0,Kovács Bt,Pest,Gödöllõ,Heves,Gyöngyös,1. ABC
228,12/03/2017,Kert,Ásó,700,5.0,695.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,2. ABC
229,12/07/2017,Kert,Ásó,700,5.0,695.0,Tóth Kft,Heves,Eger,Heves,Eger,1. ABC
230,12/12/2017,Kert,Gereblye,700,9.0,691.0,Tóth Kft,Heves,Eger,Heves,Gyöngyös,1. ABC
231,12/14/2017,Játék,Kártya,500,7.0,493.0,Nagy Kft,Heves,Gyöngyös,Heves,Gyöngyös,1. ABC
